source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents
GO:BP,GO:0048518,positive regulation of biological process,7.2514287095918606e-59,True,"""Any process that activates or increases the frequency, rate or extent of a biological process. Biological processes are regulated by many means; examples include the control of gene expression, protein modification or interaction with a protein or substrate molecule."" [GOC:jid]",6150,7396,2700,20972,0.3650621957815035,0.43902439024390244,query_1,"['GO:0008150', 'GO:0050789']"
GO:BP,GO:0048522,positive regulation of cellular process,1.6857115521753802e-56,True,"""Any process that activates or increases the frequency, rate or extent of a cellular process, any of those that are carried out at the cellular level, but are not necessarily restricted to a single cell. For example, cell communication occurs among more than one cell, but occurs at the cellular level."" [GOC:jid]",5739,7396,2533,20972,0.3424824229313142,0.4413660916535982,query_1,"['GO:0009987', 'GO:0048518', 'GO:0050794']"
GO:BP,GO:0065007,biological regulation,9.30955380052133e-50,True,"""Any process that modulates a measurable attribute of any biological process, quality or function."" [GOC:dph, GOC:isa_complete, GOC:mah, GOC:pr, GOC:vw]",12804,7396,5030,20972,0.680097349918875,0.3928459856294908,query_1,['GO:0008150']
GO:BP,GO:0080090,regulation of primary metabolic process,2.9416330794020864e-49,True,"""Any process that modulates the frequency, rate or extent of the chemical reactions and pathways within a cell or an organism involving those compounds formed as a part of the normal anabolic and catabolic processes. These processes take place in most, if not all, cells of the organism."" [PMID:19211694]",5215,7396,2300,20972,0.31097890751757706,0.44103547459252157,query_1,"['GO:0019222', 'GO:0044238']"
GO:BP,GO:0050789,regulation of biological process,3.125920548896341e-46,True,"""Any process that modulates the frequency, rate or extent of a biological process. Biological processes are regulated by many means; examples include the control of gene expression, protein modification or interaction with a protein or substrate molecule."" [GOC:ai, GOC:go_curators]",12397,7396,4872,20972,0.6587344510546241,0.3929983060417843,query_1,"['GO:0008150', 'GO:0065007']"
GO:BP,GO:0048583,regulation of response to stimulus,7.488744373684794e-46,True,"""Any process that modulates the frequency, rate or extent of a response to a stimulus. Response to stimulus is a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus."" [GOC:jid]",3993,7396,1813,20972,0.24513250405624662,0.45404457801152015,query_1,"['GO:0050789', 'GO:0050896']"
GO:BP,GO:0050794,regulation of cellular process,4.990310212364746e-44,True,"""Any process that modulates the frequency, rate or extent of a cellular process, any of those that are carried out at the cellular level, but are not necessarily restricted to a single cell. For example, cell communication occurs among more than one cell, but occurs at the cellular level."" [GOC:go_curators]",11962,7396,4710,20972,0.6368307193077339,0.3937468650727303,query_1,"['GO:0009987', 'GO:0050789']"
GO:BP,GO:0019538,protein metabolic process,2.2507795287955114e-43,True,"""The chemical reactions and pathways involving a protein. Includes protein modification."" [GOC:ma]",4467,7396,1985,20972,0.268388318009735,0.4443698231475263,query_1,"['GO:0043170', 'GO:0044238']"
GO:BP,GO:0006950,response to stress,5.7684932506582585e-43,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a disturbance in organismal or cellular homeostasis, usually, but not necessarily, exogenous (e.g. temperature, humidity, ionizing radiation)."" [GOC:mah]",3984,7396,1796,20972,0.24283396430502974,0.4508032128514056,query_1,['GO:0050896']
GO:BP,GO:0050896,response to stimulus,4.208264622309157e-42,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus. The process begins with detection of the stimulus and ends with a change in state or activity or the cell or organism."" [GOC:ai, GOC:bf]",9051,7396,3675,20972,0.4968902109248242,0.4060324825986079,query_1,['GO:0008150']
GO:BP,GO:0002376,immune system process,5.482399307553101e-41,True,"""Any process involved in the development or functioning of the immune system, an organismal system for calibrated responses to potential internal or invasive threats."" [GO_REF:0000022, GOC:add]",2913,7396,1365,20972,0.184559221200649,0.4685890834191555,query_1,['GO:0008150']
GO:BP,GO:0002682,regulation of immune system process,1.2573545956231344e-38,True,"""Any process that modulates the frequency, rate, or extent of an immune system process."" [GOC:add]",1594,7396,815,20972,0.11019469983775014,0.5112923462986199,query_1,"['GO:0002376', 'GO:0050789']"
GO:BP,GO:0035556,intracellular signal transduction,3.045793861964417e-37,True,"""The process in which a signal is passed on to downstream components within the cell, which become activated themselves to further propagate the signal and finally trigger a change in the function or state of the cell."" [GOC:bf, GOC:jl, GOC:signaling, ISBN:3527303782]",2963,7396,1369,20972,0.18510005408328825,0.46203172460344244,query_1,['GO:0007165']
GO:BP,GO:0051179,localization,5.17104945094638e-35,True,"""Any process in which a cell, a substance, or a cellular entity, such as a protein complex or organelle, is transported, tethered to or otherwise maintained in a specific location. In the case of substances, localization may also be achieved via selective degradation."" [GOC:ai, GOC:dos]",5493,7396,2331,20972,0.31517036235803136,0.4243582741671218,query_1,['GO:0008150']
GO:BP,GO:0019219,regulation of nucleobase-containing compound metabolic process,5.17104945094638e-35,True,"""Any cellular process that modulates the frequency, rate or extent of the chemical reactions and pathways involving nucleobases, nucleosides, nucleotides and nucleic acids."" [GOC:go_curators]",3954,7396,1746,20972,0.23607355327203894,0.44157814871016693,query_1,"['GO:0006139', 'GO:0080090']"
GO:BP,GO:0006810,transport,3.735260410215942e-33,True,"""The directed movement of substances (such as macromolecules, small molecules, ions) or cellular components (such as complexes and organelles) into, out of or within a cell, or between cells, or within a multicellular organism by means of some agent such as a transporter or a transporter complex, a pore or a motor protein."" [GOC:dos, GOC:dph, GOC:jl, GOC:mah]",4370,7396,1896,20972,0.25635478637101133,0.43386727688787186,query_1,['GO:0051234']
GO:BP,GO:0033036,macromolecule localization,3.91158855289822e-33,True,"""Any process in which a macromolecule is transported to, or maintained in, a specific location."" [GOC:mah]",2876,7396,1316,20972,0.17793401838831802,0.4575799721835883,query_1,['GO:0051179']
GO:BP,GO:0051716,cellular response to stimulus,6.297798513605807e-33,True,"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus. The process begins with detection of the stimulus by a cell and ends with a change in state or activity or the cell."" [GOC:bf, GOC:jl]",7425,7396,3032,20972,0.4099513250405625,0.40835016835016835,query_1,"['GO:0009987', 'GO:0050896']"
GO:BP,GO:0010604,positive regulation of macromolecule metabolic process,8.306104081699183e-33,True,"""Any process that increases the frequency, rate or extent of the chemical reactions and pathways involving macromolecules, any molecule of high relative molecular mass, the structure of which essentially comprises the multiple repetition of units derived, actually or conceptually, from molecules of low relative molecular mass."" [GOC:dph, GOC:tb]",3152,7396,1423,20972,0.19240129799891834,0.4514593908629442,query_1,"['GO:0009893', 'GO:0043170', 'GO:0060255']"
